Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
s12k,Monetary financial institutions (MFI),S12K,,102,S12K=S121+S122+S123
s12ku,Monetary financial institutions (sub-sector not identified),S12KU,,103,
s12t,Monetary financial institutions other than central bank,S12T,,104,S12T=S122+S123
s123,Money market funds,S123,,105,
s123u,Money market funds (sub-sector not identified),S123U,,106,
s15002,National private,S15002,,107,
s12702,National private captive financial institutions and money lenders,S12702,,108,
s12202,"National private deposit taking corporations, except the Central Bank",S12202,,109,
s1zt,National private financial and non financial corporations,S1ZT,,110,S1ZT=S11002+S12002+S15002
s12602,National private financial auxiliaries,S12602,,111,
s12002,National private financial corporations,S12002,,112,
s120021,National private financial corporations which are part of domestic multinationals,S120021,,113,
s12802,National private insurance corporations,S12802,,114,
s12302,National private money market funds,S12302,,115,
s12402,National private non MMF investment funds,S12402,,116,
s11002,National private non financial corporations,S11002,,117,
s110021,"National private non financial corporations, which are part of domestic multinationals",S110021,,118,
s12502,"National private other financial intermediaries, except insurance corporations and pension funds",S12502,,119,
s12902,National private pension funds,S12902,,120,
s124,Non MMF investment funds,S124,,121,S124=S124A+S124B
s124u,Non MMF investment funds (sub-sector not identified),S124U,,122,
s11,Non financial corporations,S11,,123,
s1v,"Non financial corporations, households and NPISH",S1V,,124,S1V=S11+S14+S15
s1u,"Non financial sectors, except central government",S1U,,125,"S1U=S1V+S13O;
S1U=S11+S14+S15+S1312+S1313+S1314"
s1r,"Non financial sectors, except households",S1R,,126,S1R=S11+S13+S15
s15,Non profit institutions serving households,S15,,127,
s124a3,Non-MMFs Open end funds - Bond funds,S124A3,,128,
s124a2,Non-MMFs Open end funds - Equity funds,S124A2,,129,
s124a5,Non-MMFs Open end funds - Hedge funds,S124A5,,130,
s124a4,Non-MMFs Open end funds - Mixed or balanced funds,S124A4,,131,
s124a1,Non-MMFs Open end funds - Real estate funds,S124A1,,132,
s11u,Non-financial corporations (sub-sector not identified),S11U,,133,
s1t,Non-financial corporations and general government,S1T,,134,S1T=S11+S13
s1ssp,"Non-financial corporations, SPEs",S1SSP,,135,
s1s,"Non-financial corporations, general government and households and NPISH",S1S,,136,S1S=S11+S13+S14+S15
s1282,Non-life Insurance Corporations,S1282,,137,
s128c,Non-life insurance corporations excluding reinsurance corporations,S128C,,138,
s1b,Not affiliates,S1B,,139,S1B=S1-S1A
_z,Not applicable,_Z,,140,
s1n,Not sectorised,S1N,,141,
s1272a,Of which: Foreign owned SPE-type captives,S1272A,,142,
s12lo3,Open-end Bond funds,S12LO3,,143,
s12lo2,Open-end Equity funds,S12LO2,,144,
s12lo5,Open-end Hedge funds,S12LO5,,145,
s12lo,Open-end Investment Funds,S12LO,,146,"S12LO=S123+S124A
S12LO=S12LO1+S12LO2+S12LO3+S12LO4+S12LO5+S12LO9"
s12lo4,Open-end Mixed funds,S12LO4,,147,
s124a,Open-end Non MMFs,S124A,,148,"S124=S124A+S124B;
S124=S12401+S12402+S12403"
s12lo1,Open-end Real Estate Funds,S12LO1,,149,
s12pu,Other Financial Institutions  (sub-sector not identified),S12PU,,150,
s12s,Other Forms of Institutional Savings,S12S,,151,
s13u,Other General Government (sub-sector not identified),S13U,,152,
s124a9,Other Non-MMFs Open end funds,S124A9,,153,S124A9 = S124A - S124A1 - S124A2 –S 124A3 - S124A4 – S124A5
s125e,Other OFIs,S125E,,154,S125E = S125 – S125A – S125B – S125C – S125D
s1273,Other captive finance companies and money lenders,S1273,,155,S1273 = S127 – S1271 – S1272
s1274,Other captive finance companies and money lenders (deprecated),S1274,,156,
s124b9,Other closed-end Non MMFs,S124B9,,157,S124B9=S124B-S124B1-S124B2-S124B3-S124B4-S124B5
s12r,Other financial corporations,S12R,,158,S12R=S123+S124+S125+S126+S127+S128+S129
s12p,"Other financial institutions (Financial corporations other than MFIs, insurance corporations and pension funds)",S12P,,159,S12P=S124+S125+S126+S127
s12n,"Other financial institutions (Financial corporations other than MFIs, insurance corporations, pension funds and financial auxiliaries)",S12N,,160,S12N=S124+S125+S127
s12o,"Other financial institutions (Financial corporations other than MFIs, insurance corporations, pension funds and non MMFs Investment Funds)",S12O,,161,S12O=S125+S126+S127
s125,"Other financial intermediaries, except insurance corporations and pension funds",S125,,162,
s125u,"Other financial intermediaries, except insurance corporations and pension funds (sub-sector not identified)",S125U,,163,
s125w,"Other financial intermediaries, excluding financial vehicle corporations engaged in securitizations",S125W,,164,S125W = S125 - S125A
s12l9,"Other funds (other than equity, bond, mixed, real estate and hedge funds)",S12L9,,165,S12L9=S12LO9+S124B9
s1mu,Other households and non-profit institutions serving households (sub-sector not identified),S1MU,,166,
s12qu,Other insurance corporations and pension funds (sub-sector not identified),S12QU,,167,
s12lo9,Other open-end funds,S12LO9,,168,S12LO9=S12LO-S12LO1-S12LO2-S12LO3-S12LO4-S12LO5
s12r0p,Other private financial corporations,S12R0P,,169,S12R=S12302+S12303+S12402+S12403+S12502+S12503+S12602+S12603+S12702+S12703+S12802+S12803+S12902+S12903
s12r01,Other public financial corporations,S12R01,,170,S12R=S12301+S12401+S12501+S12601+S12701+S12801+S12901
s1zo,"Other sectors including non-financial corporations, money market funds, non-MMF investment funds, OFIs, insurance corporations, pension funds, general government or a central bank",S1ZO,,171,S1ZO=S1-S1M-S122= S11+S13+S121+S123+S124+S125+S128+S129
s1q,Other sectors than MFIs,S1Q,,172,"S1Q=S1S+S12M;
S1Q=S11+S13+S14+S15+S124+S125+S126+S127+S128+S129"
s1o,Other sectors than MFIs and central government,S1O,,173,"S1O=S1V+S12M+S13O;
S1O=S11+S14+S15+S124+S125+S126+S127+S128+S129+S1312+S1313+S1314"
s1p,Other sectors than MFIs and general government,S1P,,174,"S1P=S1V+S12M;
S1P=S11+S14+S15+S124+S125+S126+S127+S128+S129"
s1zk,Other sectors than central bank,S1ZK,,175,S1ZK=S1-S121-S1N
s1zl,Other sectors than central bank and general government,S1ZL,,176,S1ZL=S1-S121-S13-S1N
s1zm,Other sectors than central government,S1ZM,,177,S1ZM=S1-S1311-S1N
s1zr,Other sectors than financial corporations and general government,S1ZR,,178,S1ZR=S1-S12-S13-S1N
s1w,Other sectors than general government,S1W,,179,S1W=S11+S12+S14+S15+S1N
s1zp,Other sectors than local government,S1ZP,,180,S1ZP=S1-S1313-S1N
s1y,Other sectors than monetary authorities,S1Y,,181,S1Y=S1-S1X-S1N
s1zq,Other sectors than social security funds,S1ZQ,,182,S1ZQ=S1-S1314-S1N
s1zn,Other sectors than state government,S1ZN,,183,S1ZN=S1-S1312-S1N
szp,"Other than general government, clearing and settlement organisations and other financial institutions",SZP,,184,
s142,Own account workers,S142,,185,
s126c,Payment institutions,S126C,,186,
s129,Pension funds,S129,,187,
s129u,Pension funds (sub-sector not identified),S129U,,188,
s11a,Post office giro,S11A,,189,
s1kp,Private corporations,S1KP,,190,S1KP=S1100P+S1200P
s1220p,Private deposit-taking corporations,S1220P,,191,S1220P=S12202+S12203
s1200p,Private financial corporations,S1200P,,192,S1200P=S12002+S12003
s1100p,Private nonfinancial corporations,S1100P,,193,S1100P=S11002+S11003
s12701,Public captive financial institutions and money lenders,S12701,,194,
s1k1,Public corporations,S1K1,,195,S1K1=S11001+S12001
s12201,"Public deposit taking corporations, except the Central Bank",S12201,,196,
s12601,Public financial auxiliaries,S12601,,197,
s12001,Public financial corporations,S12001,,198,
s12001c,Public financial corporations controlled by central government,S12001C,,199,
s120011,"Public financial corporations, which are part of domestic multinationals",S120011,,200,
s12801,Public insurance corporations,S12801,,201,
s12301,Public money market funds,S12301,,202,
s12401,Public non MMF investment funds,S12401,,203,
s11001,Public non financial corporations,S11001,,204,
s11001c,Public non financial corporations controlled by central government,S11001C,,205,
s110011,"Public non financial corporations, which are part of domestic multinationals",S110011,,206,
s12501,"Public other financial intermediaries, except insurance corporations and pension funds",S12501,,207,
s12901,Public pension funds,S12901,,208,
s1zs,Public sector,S1ZS,,209,S1ZS=S11001+S12001+S13
s12l1,Real estate funds,S12L1,,210,S12L1=S12LO1+S124B1
s1443,Recipients of other transfers,S1443,,211,
s1442,Recipients of pensions,S1442,,212,
s144,Recipients of property and transfer income,S144,,213,
s1441,Recipients of property income,S1441,,214,
s128a,Reinsurance corporations,S128A,,215,
s1zu,"Sectors other than central bank, credit institutions and general government",S1ZU,,216,
s1z,Sectors other than deposit-taking corporations and general government (Other Sectors - BPM6),S1Z,,217,"S1Z=S11+S14+S15+S123+S124
+S125+S126+S127+S128+S129"
s125c,Security and derivative dealers,S125C,,218,
s1314,Social security funds,S1314,,219,
s13141,"Social security funds, budgetary units",S13141,,220,
s13142,"Social security funds, extra-budgetary units",S13142,,221,
s125d,Specialised financial corporations,S125D,,222,
s13m,State and local government excluding social security,S13M,,223,S13M=S1312+S1313
s1312,State government excluding social security,S1312,,224,
s1322,State government including social security,S1322,,225,
s1332,State government non profit institutions,S1332,,226,
s13121,"State government, budgetary units",S13121,,227,
s13122,"State government, extra-budgetary units",S13122,,228,
s1,Total economy,S1,,229,S1=S11+S12+S13+S14+S15+S1N
s1sp,"Total economy, SPEs",S1SP,,230,S1SP=S12SP+S1SSP
s1271,"Trusts, estate and agency accounts",S1271,,231,
s123b,Variable NAV MMFs,S123B,,232,
